Step	Suggestion	Action	Compliance	Reward	True_mu	Estimated_mu	Temperature	Q_max
159	2.2727	2.2653	0.9723	1.0566	2.1360	2.2805	0.4148	1.0566
160	2.8283	2.5263	0.4883	0.6903	2.1370	2.3063	0.4146	1.0566
161	2.8788	2.3784	0.4390	0.5812	2.1380	2.3009	0.4142	1.0566
162	2.4747	2.4212	0.8444	0.9838	2.1390	2.3016	0.4139	1.0566
163	4.2424	2.1755	0.0013	0.1547	2.1400	2.2900	0.4135	1.0566
164	3.0808	2.3707	0.2658	0.4199	2.1410	2.2999	0.4133	1.0566
165	2.3737	2.3609	0.9226	1.0380	2.1420	2.3288	0.4130	1.0566
166	2.0707	2.0724	0.9922	1.0367	2.1430	2.3005	0.4125	1.0566
167	2.3232	2.3205	0.9530	1.0542	2.1440	2.3163	0.4123	1.0566
168	2.1717	2.1724	0.9989	1.0613	2.1450	2.3064	0.4119	1.0591
169	3.0808	2.5694	0.2696	0.5126	2.1460	2.3368	0.4116	1.0591
170	2.0707	2.0706	0.9913	1.0354	2.1470	2.2912	0.4111	1.0591
171	2.2727	2.2702	0.9769	1.0625	2.1480	2.2804	0.4110	1.0601
172	2.4242	2.3984	0.8926	1.0214	2.1490	2.2781	0.4109	1.0601
173	2.6263	2.4435	0.7116	0.8654	2.1500	2.3049	0.4109	1.0601
174	2.4242	2.3991	0.8941	1.0237	2.1510	2.3078	0.4107	1.0601
175	2.8788	2.5906	0.4528	0.6932	2.1520	2.3307	0.4104	1.0601
176	2.3737	2.3815	0.9295	1.0527	2.1530	2.3616	0.4100	1.0601
177	2.4747	2.4385	0.8570	1.0048	2.1540	2.3734	0.4094	1.0601
178	2.4747	2.4341	0.8578	1.0045	2.1550	2.3996	0.4087	1.0601
179	2.9798	2.4478	0.3613	0.5389	2.1560	2.3874	0.4079	1.0601
180	2.9798	2.4982	0.3622	0.5633	2.1570	2.4302	0.4072	1.0601
181	2.4242	2.3851	0.8991	1.0268	2.1580	2.4417	0.4062	1.0601
182	3.8384	2.1721	0.0145	0.1733	2.1590	2.4190	0.4052	1.0601
183	2.0202	2.0260	0.9711	1.0107	2.1600	2.3773	0.4044	1.0601
184	2.0707	2.0698	0.9878	1.0329	2.1610	2.3444	0.4039	1.0601
185	2.1717	2.1722	0.9999	1.0621	2.1620	2.3025	0.4036	1.0609
186	2.8788	2.4963	0.4637	0.6543	2.1630	2.3140	0.4037	1.0609
187	2.8283	2.4916	0.5159	0.7013	2.1640	2.3193	0.4037	1.0609
188	2.2222	2.2221	0.9951	1.0684	2.1650	2.2981	0.4037	1.0609
189	2.9798	2.4690	0.3703	0.5551	2.1660	2.3002	0.4038	1.0609
190	2.6768	2.5688	0.6772	0.8937	2.1670	2.3073	0.4039	1.0609
191	3.7879	2.3638	0.0195	0.2239	2.1680	2.3052	0.4039	1.0609
192	2.9798	2.5808	0.3730	0.6150	2.1690	2.3460	0.4039	1.0609
193	2.4242	2.3958	0.9076	1.0377	2.1700	2.3830	0.4037	1.0609
194	2.9798	2.5406	0.3748	0.5970	2.1710	2.4301	0.4032	1.0609
195	2.4242	2.4101	0.9090	1.0462	2.1720	2.4539	0.4024	1.0609
196	2.8283	2.5016	0.5251	0.7185	2.1730	2.4544	0.4014	1.0609
197	2.5758	2.5375	0.7850	0.9841	2.1740	2.4590	0.4005	1.0609
198	2.4242	2.4000	0.9110	1.0452	2.1750	2.4768	0.3995	1.0609
199	4.2424	2.2945	0.0017	0.1871	2.1760	2.4593	0.3985	1.0609
200	2.7778	2.5447	0.5819	0.7941	2.1770	2.4569	0.3977	1.0609
201	2.5253	2.4578	0.8345	0.9945	2.1780	2.4663	0.3969	1.0609
202	3.3838	2.3595	0.1133	0.2923	2.1790	2.4442	0.3961	1.0609
203	2.4747	2.4360	0.8778	1.0265	2.1800	2.4482	0.3954	1.0609
204	3.4848	2.3784	0.0781	0.2715	2.1810	2.4320	0.3948	1.0609
205	3.1313	2.4491	0.2588	0.4498	2.1820	2.4359	0.3943	1.0609
206	2.9798	2.4144	0.3858	0.5510	2.1830	2.4272	0.3938	1.0609
207	2.4242	2.3972	0.9171	1.0484	2.1840	2.4132	0.3933	1.0609
208	3.9394	2.1815	0.0099	0.1720	2.1850	2.3913	0.3930	1.0609
209	2.1717	2.1723	0.9997	1.0636	2.1860	2.3791	0.3929	1.0625
210	2.9798	2.5309	0.3895	0.6053	2.1870	2.3777	0.3928	1.0625
211	2.4747	2.4290	0.8840	1.0280	2.1880	2.3748	0.3928	1.0625
212	2.0707	2.0726	0.9792	1.0247	2.1890	2.3461	0.3928	1.0625
213	2.4242	2.4058	0.9210	1.0539	2.1900	2.3431	0.3930	1.0625
214	2.8788	2.5502	0.4919	0.7104	2.1910	2.3603	0.3932	1.0625
215	2.8283	2.5846	0.5448	0.7796	2.1920	2.3739	0.3933	1.0625
216	3.5354	2.4873	0.0670	0.3070	2.1930	2.3811	0.3933	1.0625
217	2.6768	2.4927	0.7050	0.8845	2.1940	2.3907	0.3932	1.0625
218	2.2727	2.2714	0.9910	1.0793	2.1950	2.3997	0.3930	1.0716
219	2.7778	2.4839	0.6019	0.7835	2.1960	2.4309	0.3928	1.0716
220	3.0303	2.4312	0.3529	0.5282	2.1970	2.4209	0.3924	1.0716
221	2.3737	2.3686	0.9547	1.0747	2.1980	2.4148	0.3921	1.0716
222	2.0202	2.0289	0.9532	0.9940	2.1990	2.4105	0.3918	1.0716
223	3.4848	2.2342	0.0841	0.2347	2.2000	2.3933	0.3916	1.0716
224	2.2727	2.2704	0.9923	1.0796	2.2010	2.3653	0.3915	1.0764
225	2.3737	2.3713	0.9567	1.0760	2.2020	2.3440	0.3916	1.0764
226	2.5758	2.5001	0.8119	0.9896	2.2030	2.3453	0.3919	1.0764
227	2.4242	2.4133	0.9298	1.0655	2.2040	2.3373	0.3921	1.0764
228	2.6768	2.5380	0.7162	0.9173	2.2050	2.3640	0.3924	1.0764
229	2.5758	2.5035	0.8146	0.9944	2.2060	2.3659	0.3925	1.0764
230	2.4242	2.4082	0.9317	1.0659	2.2070	2.3636	0.3925	1.0764
231	2.4747	2.4512	0.8988	1.0518	2.2080	2.3719	0.3926	1.0764
232	2.8283	2.6492	0.5626	0.8384	2.2090	2.4339	0.3926	1.0764
233	2.3737	2.3611	0.9606	1.0789	2.2100	2.4466	0.3922	1.0764
234	2.8283	2.5850	0.5646	0.8024	2.2110	2.4781	0.3917	1.0764
235	3.8384	2.1402	0.0189	0.1727	2.2120	2.4550	0.3910	1.0764
236	2.5253	2.4792	0.8639	1.0329	2.2130	2.4529	0.3905	1.0764
237	2.0707	2.0668	0.9697	1.0160	2.2140	2.4182	0.3900	1.0764
238	2.4242	2.4079	0.9364	1.0715	2.2150	2.4052	0.3898	1.0764
239	2.1717	2.1708	0.9971	1.0605	2.2160	2.3720	0.3897	1.0764
240	2.2727	2.2741	0.9954	1.0834	2.2170	2.3585	0.3898	1.0806
241	3.3838	2.4576	0.1302	0.3444	2.2180	2.3592	0.3900	1.0806
242	2.3232	2.3174	0.9838	1.0843	2.2190	2.3260	0.3903	1.0806
243	3.8889	2.3328	0.0153	0.2132	2.2200	2.3232	0.3907	1.0806
244	3.6869	2.3441	0.0398	0.2327	2.2210	2.2991	0.3911	1.0806
245	2.5758	2.4913	0.8288	1.0023	2.2220	2.3342	0.3917	1.0806
246	2.3737	2.3636	0.9665	1.0826	2.2230	2.3226	0.3921	1.0806
247	2.5758	2.5035	0.8306	1.0105	2.2240	2.3663	0.3925	1.0806
248	2.4242	2.4064	0.9422	1.0758	2.2250	2.3662	0.3925	1.0806
249	2.5253	2.5016	0.8743	1.0522	2.2260	2.3992	0.3926	1.0806
250	2.8788	2.6127	0.5287	0.7847	2.2270	2.4331	0.3924	1.0806
251	2.0707	2.0757	0.9636	1.0106	2.2280	2.3949	0.3920	1.0806
252	2.1717	2.1736	0.9951	1.0593	2.2290	2.3805	0.3919	1.0806
253	3.2323	2.4191	0.2216	0.4077	2.2300	2.3892	0.3919	1.0806
254	3.0808	2.4922	0.3385	0.5437	2.2310	2.4040	0.3918	1.0806
255	3.6869	2.2879	0.0418	0.2198	2.2320	2.3836	0.3916	1.0806
256	2.2222	2.2224	0.9998	1.0747	2.2330	2.3695	0.3916	1.0806
257	2.5253	2.4770	0.8805	1.0463	2.2340	2.3669	0.3917	1.0806
258	2.4242	2.4034	0.9477	1.0802	2.2350	2.3666	0.3917	1.0806
259	2.6768	2.5897	0.7472	0.9770	2.2360	2.3754	0.3918	1.0806
